鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
新興區,房地(土地+建物),高雄市新興區七賢二路51~100號,294.0,商,,,10207,土地2建物1車位0,一層，二層，三層，騎樓，地下層,003,店面(店鋪),,鋼筋混凝土造,0620720,395.44,0,0,0,無,無,102275250,258637,,0.0,0
小港區,房地(土地+建物),高雄市小港區明芳街51~100號,58.0,商,,,10210,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0660615,145.8,3,2,2,有,無,6600000,45267,,0.0,0
小港區,房地(土地+建物),高雄市小港區小港區德仁路1~50號,98.0,住,,,10211,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0780411,229.13,4,1,3,有,無,9200000,40152,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路194巷6弄1~50號,25.44,商,,,10211,土地1建物1車位0,二層，電梯樓梯間,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690808,63.18,3,2,1,有,無,3000000,47483,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區中華五路1007巷1~50號,23.3,住,,,10210,土地1建物1車位0,一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910619,137.38,3,2,2,有,有,6780000,49352,,0.0,0
小港區,房地(土地+建物),高雄市小港區山明里鳳陽街1~50號,155.47,住,,,10211,土地1建物1車位0,全,004,透天厝,住商用,見其他登記事項,1000512,289.01,5,2,3,有,無,20000000,69202,,0.0,0
小港區,房地(土地+建物),高雄市小港區山明里鳳陽街1~50號,155.79,住,,,10211,土地1建物1車位0,全,004,透天厝,住商用,見其他登記事項,1000512,289.01,5,2,3,有,無,20000000,69202,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區明道三街1~50號,102.21,商,,,10211,土地1建物1車位0,全,005,透天厝,住家用,鋼筋混凝土造,1020619,257.01,6,2,5,有,有,17000000,66145,,0.0,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中華五路1251~1300號,40.0,住,,,10211,土地1建物1車位3,十八層,029,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1020710,355.82,5,2,5,有,有,30180000,81234,坡道平面,48.93,5250000
前鎮區,房地(土地+建物),高雄市前鎮區佛公路1~50號,18.72,住,,,10211,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780331,73.68,3,1,2,有,無,1650000,22394,,0.0,0
三民區,房地(土地+建物),高雄市三民區合江街51~100號,21.96,住,,,10211,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681208,74.28,3,2,2,有,無,2400000,32310,,0.0,0
前鎮區,房地(土地+建物)+車位,高雄市前鎮區武慶一路151~200號,17.74,住,,,10211,土地2建物1車位1,十一層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980722,133.28,3,2,2,有,有,6200000,46519,坡道機械,20.94,0
三民區,房地(土地+建物),高雄市三民區正義路309巷1~50號,78.0,住,,,10211,土地1建物1車位0,全,002,透天厝,,鋼筋混凝土造,0760820,103.01,2,2,2,有,無,7200000,69896,,0.0,0
三民區,房地(土地+建物)+車位,高雄市三民區大順二路901~950號,10.9,住,,,10210,土地1建物1車位1,五層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870508,138.8,4,2,2,有,有,5510000,39697,坡道機械,11.54,0
三民區,土地,建興段201~250地號,3.0,其他,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,47500,15833,,0.0,0
三民區,房地(土地+建物),高雄市三民區大裕路201~250號,17.52,住,,,10211,土地1建物1車位0,三層，電梯樓梯間,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830528,110.84,3,2,2,有,有,3300000,29773,,0.0,0
三民區,房地(土地+建物),高雄市三民區天祥一路159巷1~50號,6.86,住,,,10211,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0960430,23.21,1,1,1,有,無,1200000,51702,,0.0,0
三民區,房地(土地+建物),高雄市三民區天祥一路100巷51~100號,26.67,住,,,10211,土地1建物1車位0,四層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760220,89.72,3,1,2,有,無,2050000,22849,,0.0,0
三民區,房地(土地+建物),高雄市三民區應安街51~100號,10.06,商,,,10210,土地1建物1車位0,九層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960129,79.19,2,2,1,有,有,3780000,47733,,0.0,0
三民區,房地(土地+建物)+車位,高雄市三民區建武路76巷1~50號,9.43,住,,,10210,土地2建物1車位1,三層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870122,113.65,3,1,2,有,有,3170000,27893,坡道機械,0.0,0
三民區,房地(土地+建物),高雄市三民區鼎強街301~350號,31.99,住,,,10211,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730126,101.54,4,1,2,有,無,3100000,30530,,0.0,0
三民區,房地(土地+建物),高雄市三民區建安街51~100號,15.95,住,,,10211,土地1建物1車位0,九層,022,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0800723,177.83,4,2,3,有,無,5300000,29804,,0.0,0
三民區,房地(土地+建物),高雄市三民區灣中街201~250號,18.08,住,,,10211,土地1建物1車位0,六層，電梯樓梯間,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810717,85.97,3,1,2,有,無,3300000,38385,,0.0,0
三民區,房地(土地+建物),高雄市三民區自立一路251~300號,82.0,商,,,10210,土地1建物1車位0,全,003,透天厝,,加強磚造,0610807,216.53,2,2,3,有,無,14300000,66042,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區益群路9巷1~50號,36.0,住,,,10210,土地6建物1車位0,四層,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680524,80.76,3,2,1,有,無,1450000,17954,,0.0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區興泰街51~100號,22.68,住,,,10211,土地3建物1車位1,九層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011122,143.84,3,2,2,有,有,6190000,43034,坡道平面,24.97,0
左營區,房地(土地+建物)+車位,高雄市左營區文川路101~150號,16.59,商,,,10210,土地1建物1車位1,六層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830715,161.12,4,2,2,有,有,5500000,34136,坡道機械,0.0,0
左營區,房地(土地+建物),高雄市左營區左營大路272巷1~50號,80.0,住,,,10210,土地1建物1車位0,全,003,透天厝,,鋼筋混凝土造,0671227,158.35,3,2,3,有,無,7200000,45469,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區加昌里壽民路16巷1弄1~50號,34.59,住,,,10211,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0720813,87.34,3,2,2,有,無,3000000,34349,,0.0,0
三民區,房地(土地+建物),高雄市三民區大興街51~100號,13.64,住,,,10211,土地1建物1車位0,七層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811118,75.21000000000001,3,1,1,有,有,2400000,31911,,0.0,0
三民區,房地(土地+建物)+車位,高雄市三民區明誠一路351~400號,17.35,住,,,10211,土地1建物1車位1,十層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900413,141.68,3,2,2,有,有,5650000,39879,坡道平面,0.0,0
左營區,房地(土地+建物),高雄市左營區實踐路1~50號,91.0,商,,,10209,土地2建物1車位0,全,003,透天厝,,加強磚造,0630213,247.21,3,2,2,有,無,10380000,41989,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區先勝路101~150號,14.02,住,,,10211,土地1建物1車位1,十五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,129.78,3,2,2,有,有,5620000,43304,坡道平面,0.0,0
左營區,房地(土地+建物),高雄市左營區立道路1~50號,8.28,住,,,10211,土地1建物1車位0,六層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860822,91.61,3,1,1,有,有,3980000,43445,,0.0,0
左營區,房地(土地+建物),高雄市左營區海德路1~50號,99.3,商,,,10211,土地2建物1車位0,全,005,透天厝,住商用,鋼筋混凝土造,1020418,344.2,4,2,6,有,無,24000000,69727,,0.0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區壽民路180巷1弄1~50號,30.51,住,,,10211,土地1建物1車位1,一層，二層，騎樓，電梯樓梯間,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820729,170.51999999999998,4,2,2,有,有,6590000,38646,坡道平面,0.0,0
左營區,房地(土地+建物),高雄市左營區文自路751~800號,11.49,住,,,10211,土地1建物1車位0,五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021014,87.77000000000001,2,1,2,有,有,5060000,57651,,0.0,0
左營區,房地(土地+建物),高雄市左營區文自路751~800號,11.49,住,,,10211,土地1建物1車位0,十五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021014,87.77000000000001,2,1,2,有,有,5360000,61069,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區德民路651~700號,35.79,住,,,10210,土地1建物1車位0,一層，騎樓,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,0671118,82.52,2,2,1,有,無,6400000,77557,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區卓越路51巷1~50號,76.38,住,,,10210,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0940315,182.29,5,2,4,有,無,8720000,47836,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區德民路356巷46弄1~50號,27.46,住,,,10211,土地1建物1車位0,一層，二層，騎樓,005,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701229,92.28,4,2,2,有,無,4700000,50932,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區德惠路1~50號,60.0,住,,,10210,土地1建物1車位0,全,005,透天厝,見使用執照,鋼筋混凝土造,0830602,236.45,6,2,3,有,無,17000000,71897,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區德賢路220巷1~50號,76.0,住,,,10211,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0920612,184.91,5,2,3,有,無,13000000,70304,,0.0,0
左營區,房地(土地+建物),高雄市左營區文自路751~800號,11.49,住,,,10211,土地1建物1車位0,四層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021014,87.77000000000001,2,1,1,有,有,5800000,66082,,0.0,0
楠梓區,土地,楠都段三小段1301~1350地號,331.0,其他,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,75529,,0.0,0
楠梓區,土地,楠都段三小段1301~1350地號,136.0,其他,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9256500,68063,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區榮總路1~50號,14.26,住,,,10211,土地1建物1車位1,三層,013,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0880920,136.36,3,2,2,有,有,4900000,35934,坡道平面,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區榮總路203巷1~50號,11.95,住,,,10211,土地1建物1車位2,十四層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870629,156.68,4,2,2,有,有,7200000,45954,坡道機械,15.08,0
楠梓區,房地(土地+建物),高雄市楠梓區惠春街151~200號,13.74,住,,,10211,土地1建物1車位0,七層,013,住宅大樓(11層含以上有電梯),住家用,見使用執照,0890817,109.05000000000001,3,2,2,有,有,3060000,28061,,0.0,0
楠梓區,房地(土地+建物)+車位,高雄市楠梓區廣昌街43巷51~100號,37.96,住,,,10210,土地2建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820603,132.51,3,2,2,有,無,4010000,30262,坡道平面,0.0,0
彌陀區,土地,?港段251~300地號,39.33,工,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280029,7120,,0.0,0
燕巢區,土地,安招段501~550地號,80.32,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,9960,,0.0,0
橋頭區,房地(土地+建物),高雄市橋頭區新莊路保金巷1~50號,165.93,,鄉村區,乙種建築用地,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0770111,278.94,4,2,3,有,無,2307129,8271,,0.0,0
燕巢區,土地,千秋寮段101~150地號,1641.0,,山坡地保育區,農牧用地,10211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,1584,,0.0,0
梓官區,房地(土地+建物),高雄市梓官區公園東街19巷1~50號,70.03,,特定農業區,甲種建築用地,10211,土地1建物1車位0,全,005,透天厝,住家用,鋼筋混凝土造,0850610,212.09,4,2,3,有,有,3900000,18388,,0.0,0
岡山區,房地(土地+建物),高雄市岡山區協北巷70弄1~50號,79.0,住,,,10210,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0781128,119.31,4,2,2,有,無,4700000,39393,,0.0,0
鳳山區,土地,道爺?段下菜園小段1~50地號,14.0,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,930000,66429,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區文山里文衡路175巷1~50號,80.0,商,,,10211,土地1建物1車位0,全,005,透天厝,見其他登記事項,鋼筋混凝土造,1020701,253.94,5,2,4,有,無,17000000,66945,,0.0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區瑞春街1~50號,25.48,住,,,10211,土地2建物1車位1,六層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840418,150.43,3,1,2,有,無,6700000,44539,坡道平面,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區文清街125巷1~50號,16.2,商,,,10211,土地1建物1車位0,五層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701201,69.28,2,2,1,有,有,2600000,37529,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區誠智街1~50號,156.96,住,,,10209,土地1建物1車位0,全,004,透天厝,見其他登記事項,見其他登記事項,1020510,361.51,6,2,6,有,無,23500000,65005,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區誠智街1~50號,174.5,住,,,10210,土地1建物1車位0,全,004,透天厝,見其他登記事項,見其他登記事項,1020510,393.69,6,2,6,有,無,25500000,64772,,0.0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區新樂里海洋一路101~150號,28.19,住,,,10210,土地1建物1車位1,八層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870606,141.9,4,2,2,有,有,6600000,46512,坡道平面,22.0,0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區新康街254巷1~50號,26.92,住,,,10211,土地1建物1車位1,二層,006,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781024,153.03,3,2,2,有,有,4800000,31366,坡道平面,0.0,0
鳳山區,土地,新庄子段51~100地號,3.0,其他,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000,5000,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區國富路1~50號,25.36,住,,,10211,土地2建物1車位0,八層,016,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0840512,115.15,3,2,2,有,有,5000000,43422,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區過雄街27巷51~100號,16.6,住,,,10211,土地1建物1車位0,八層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811030,119.87,3,1,2,有,有,3550000,29615,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區中山東路152巷101~150號,77.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0630725,67.2,3,1,2,有,無,4300000,63988,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區五甲二路151~200號,21.99,住,,,10211,土地2建物2車位0,九層,016,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800228,186.67000000000002,4,2,2,有,有,5400000,28928,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區勝利路顯惠2巷1~50號,119.0,住,,,10211,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0610925,119.04,3,2,2,有,無,5820000,48891,,0.0,0
鳳山區,土地,七老爺段351~400地號,30.71,住,,,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,11723,,0.0,0
大社區,房地(土地+建物),高雄市大社區中華路14巷101~150號,62.0,住,,,10211,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0791210,87.9,6,2,3,有,無,4500000,51195,,0.0,0
仁武區,房地(土地+建物),高雄市仁武區文達一街1~50號,86.17,住,,,10211,土地4建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,0960111,168.02,4,2,3,有,無,6670000,39698,,0.0,0
大社區,房地(土地+建物),高雄市大社區萬金路101~150號,155.6,住,,,10210,土地1建物1車位0,全,003,透天厝,見其他登記事項,鋼筋混凝土造,1020910,248.47,5,2,5,有,無,13750000,55339,,0.0,0
大社區,土地,鹽埕段201~250地號,924.02,農,,,10211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13460000,14567,,0.0,0
阿蓮區,房地(土地+建物),高雄市阿蓮區中正路351~400號,82.1,住,,,10211,土地1建物1車位0,全,005,透天厝,住商用,鋼筋混凝土造,0810910,267.63,7,1,4,有,無,13800000,51564,,0.0,0
茄萣區,房地(土地+建物)+車位,高雄市茄萣區嘉賜里莒光路三段101~150號,107.82,住,,,10208,土地1建物1車位1,全,004,透天厝,住家用,鋼筋混凝土造,1020227,201.69,6,2,4,有,無,7100000,35203,一樓平面,0.0,0
茄萣區,房地(土地+建物)+車位,高雄市茄萣區嘉賜里莒光路三段101~150號,107.87,住,,,10208,土地1建物1車位1,全,004,透天厝,住家用,鋼筋混凝土造,1020227,201.69,6,2,4,有,無,7000000,34707,一樓平面,0.0,0
茄萣區,房地(土地+建物)+車位,高雄市茄萣區嘉賜里莒光路三段101~150號,118.49,住,,,10208,土地1建物1車位1,全,004,透天厝,住家用,鋼筋混凝土造,1020227,204.75,6,2,4,有,無,7200000,35165,一樓平面,0.0,0
茄萣區,房地(土地+建物)+車位,高雄市茄萣區嘉賜里莒光路三段135巷1~50號,121.22,住,,,10208,土地3建物1車位1,全,004,透天厝,住家用,鋼筋混凝土造,1020227,185.29,5,2,3,有,無,6000000,32382,一樓平面,0.0,0
