鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉清水路1~50號,21.9,住,,,10211,土地1建物1車位1,十一層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,156.76,3,2,2,有,有,8780000,56009,坡道平面,0.0,0
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉清水路1~50號,22.35,住,,,10211,土地1建物1車位1,二層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,159.34,3,2,2,有,有,7500000,47069,坡道平面,0.0,0
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉清水路1~50號,22.35,住,,,10211,土地1建物1車位1,七層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,159.34,3,2,2,有,有,7980000,50082,坡道平面,0.0,0
五結鄉,房地(土地+建物),宜蘭縣五結鄉清水路15巷1~50號,19.31,住,,,10211,土地1建物1車位0,一層，夾層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,112.78,3,2,2,有,有,5240000,46462,,0.0,0
五結鄉,房地(土地+建物),宜蘭縣五結鄉清水路1~50號,21.9,住,,,10211,土地1建物1車位0,三層,013,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021015,156.76,3,2,2,有,有,7150000,45611,,0.0,0
五結鄉,土地,大吉段501~550地號,932.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2537370,2723,,0.0,0
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉照安路28巷2弄1~50號,99.31,住,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0951016,212.04,4,2,3,有,無,6600000,31126,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮興東路243巷1~50號,108.0,其他,,,10211,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土加強磚造,0660401,187.26,4,1,3,有,無,7350000,39250,,0.0,0
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮羅莊街156巷1~50號,110.3,,特定農業區,甲種建築用地,10211,土地4建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0851011,196.61,4,2,3,有,有,7680000,39062,,0.0,0
五結鄉,土地,大眾段1001~1050地號,808.0,,特定農業區,農牧用地,10211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1378000,1705,,0.0,0
