鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
松山區,建物,臺北市松山區富錦街1~50號,0.0,其他,,,10211,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.0,3,1,1,有,有,有,45500,506,,0.0,0
信義區,建物,臺北市信義區信義路五段101~150號,0.0,其他,,,10211,土地0建物1車位0,七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980702,115.09,1,1,1,有,有,有,65000,565,,0.0,0
信義區,建物,臺北市信義區松平路30巷1~50號,0.0,住,,,10212,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961108,70.44999999999999,1,1,1,有,有,有,42000,596,,0.0,0
大同區,建物,臺北市大同區市民大道一段201~250號,0.0,其他,,,10211,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,83.04,2,2,1,有,有,有,55000,662,,0.0,0
大同區,建物,臺北市大同區市民大道一段201~250號,0.0,其他,,,10211,土地0建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,83.09,2,2,1,有,有,有,55000,662,,0.0,0
中正區,建物,臺北市中正區漢口街一段51~100號,0.0,商,,,10211,土地0建物2車位1,四層,10,辦公商業大樓,商業用,鋼筋混凝土造,0860930,372.25,3,1,0,有,有,有,130000,349,升降機械,23.81,0
大安區,建物,臺北市大安區大安路一段201~250號,0.0,住,,,10211,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971028,35.29,1,1,1,有,無,有,27273,773,,0.0,0
大安區,建物,臺北市大安區和平東路三段212巷1~50號,0.0,住,,,10212,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890626,227.42,4,2,2,有,有,無,50000,220,,0.0,0
大安區,建物,臺北市大安區安居街51~100號,0.0,,,,10212,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0691217,150.83,3,2,2,有,無,無,38000,252,,0.0,0
北投區,房地(土地+建物),臺北市北投區崇仁路一段51~100號,19.78,住,,,10211,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000826,96.96,1,1,1,有,有,無,25000,258,,0.0,0
北投區,房地(土地+建物),臺北市北投區崇仁路一段51~100號,8.58,住,,,10212,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000826,42.33,0,0,1,有,有,無,14000,331,,0.0,0
