鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
前鎮區,建物,高雄市前鎮區民權二路601~650號,48.28,,,,10211,土地0建物2車位0,一層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720603,95.15,1,3,2,有,無,無,32000,336,,0.0,0
苓雅區,建物,高雄市苓雅區四維三路51~100號,0.0,,,,10211,土地0建物1車位0,十二層,12,辦公商業大樓,,鋼筋混凝土造,0800124,513.02,0,0,0,無,無,無,34000,66,,0.0,0
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路410巷1~50號,51.0,住,,,10212,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0600903,75.49,3,1,3,有,無,有,10000,132,,0.0,0
左營區,房地(土地+建物)+車位,高雄市左營區重上街51~100號,14.01,住,,,10212,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,123.77,3,2,2,有,有,有,16500,133,坡道平面,18.34,0
左營區,建物,高雄市左營區曾子路351~400號,0.0,住,,,10211,土地0建物0車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0960205,172.04,3,3,4,有,無,無,50000,291,,0.0,0
鳳山區,建物,高雄市鳳山區五甲二路51~100號,0.0,住,,,10212,土地0建物1車位0,見其他登記事項,20,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0840615,508.41,0,0,0,無,有,有,57000,112,,0.0,0
三民區,建物,高雄市三民區鼎山街501~550號,34.9,商,,,10211,土地0建物0車位0,全,2,透天厝,住商用,加強磚造,0570108,53.03,3,2,4,有,無,無,15000,283,,0.0,0
三民區,房地(土地+建物),高雄市三民區察哈爾一街51~100號,58.0,住,,,10212,土地1建物1車位0,全,2,透天厝,,加強磚造,0610719,111.25,3,2,2,有,無,無,18000,162,,0.0,0
三民區,房地(土地+建物),高雄市三民區察哈爾二街201~250號,49.68,住,,,10211,土地1建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760814,78.32,3,2,2,有,無,無,16000,204,,0.0,0
三民區,建物,高雄市三民區博愛一路351~400號,0.0,,,,10212,土地0建物1車位0,三層,12,辦公商業大樓,,鋼筋混凝土造,0780929,252.23,4,1,2,有,有,無,26000,103,,0.0,0
鳳山區,房地(土地+建物),高雄市鳳山區光遠路101~150號,93.0,住,,,10212,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0640220,183.33,4,2,1,有,無,無,30000,164,,0.0,0
岡山區,房地(土地+建物),高雄市岡山區嘉新西路51~100號,98.0,住,,,10211,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0740530,169.66,4,2,3,有,無,無,7000,41,,0.0,0
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東八街1~50號,17.58,其他,,,10212,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010710,146.08,3,2,2,有,無,無,27000,185,坡道平面,31.59,0
新興區,房地(土地+建物),高雄市新興區七賢一路401~450號,15.16,商,,,10211,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0730919,120.67,0,0,0,無,無,有,30000,249,,0.0,0
新興區,房地(土地+建物),高雄市新興區中山一路151~200號,116.0,商,,,10212,土地1建物2車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0721208,327.6,0,0,0,無,無,無,41000,125,,0.0,0
苓雅區,建物,高雄市苓雅區成功一路201~250號,0.0,,,,10212,土地0建物1車位0,十一層,20,辦公商業大樓,,鋼筋混凝土造,0731027,18.31,0,0,0,無,有,無,6500,355,,0.0,0
苓雅區,建物,高雄市苓雅區海邊路1~50號,0.0,,,,10212,土地0建物1車位0,十九層,27,辦公商業大樓,商業用,鋼造,0860212,81.81,0,0,0,無,有,無,36000,440,,0.0,0
新興區,房地(土地+建物),高雄市新興區八德二路51~100號,6.26,商,,,10212,土地2建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020110,76.77,2,2,1,有,無,有,18000,234,,0.0,0
三民區,建物,高雄市三民區鼎中路751~800號,64.0,商,,,10212,土地0建物1車位0,一層,3,店面(店鋪),,鋼筋混凝土造,0761028,46.31,0,0,1,有,無,無,12000,259,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區大學南路1201~1250號,277.68,其他,,,10212,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,1000715,139.98,0,0,1,有,無,無,25000,179,,0.0,0
楠梓區,房地(土地+建物),高雄市楠梓區旗楠路901~950號,24.2,住,,,10212,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0690619,53.91,3,2,2,有,無,無,15000,278,,0.0,0
三民區,房地(土地+建物)+車位,高雄市三民區建工路551~600號,14.05,商,,,10212,土地1建物1車位1,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0900615,271.5,0,0,0,無,無,無,43000,158,坡道平面,0.0,0
橋頭區,土地,中崎段101~150地號,2904.0,農,,,10211,土地1建物0車位0,,1,其他,工業用,鋼造,0820301,2904.0,0,0,0,有,無,無,45000,15,,0.0,0
苓雅區,車位,高雄市苓雅區新光路62巷1~50號,0.0,商,,,10212,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.65,2000
