鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
桃園市,建物,桃園縣桃園市力行路101~150號,13.41,商,,,10211,土地0建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830709,142.71,3,2,2,有,無,有,12000,84,坡道平面,0.0,0
中壢市,房地(土地+建物),桃園縣中壢市中山東路三段文化新村201~250號,76.26,住,,,10212,土地1建物1車位0,二層,3,套房(1房1廳1衛),住家用,加強磚造,0670920,77.4,1,0,1,有,無,有,2500,32,,0.0,0
桃園市,房地(土地+建物)+車位,桃園縣桃園市經國路251~300號,12.26,住,,,10210,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870402,206.22000000000003,4,2,2,有,有,有,19000,92,坡道平面,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市春日路1101~1150號,10.19,住,,,10210,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890831,74.73,1,1,1,有,有,有,13000,174,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市春日路658巷1~50號,11.52,住,,,10210,土地1建物1車位0,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881129,90.2,2,2,1,有,有,有,14500,161,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市民有五街101~150號,13.19,住,,,10210,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931231,136.88,2,2,2,有,有,有,15500,113,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市復興路51~100號,6.39,住,,,10210,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780930,50.45,1,1,1,有,有,有,7500,149,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市文中路751~800號,13.74,住,,,10210,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830305,75.82,2,1,1,有,有,有,12000,158,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市大業路一段51~100號,10.59,住,,,10210,土地1建物1車位0,六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850412,101.72999999999999,2,1,2,有,有,有,13000,128,,0.0,0
桃園市,房地(土地+建物),桃園縣桃園市介壽路1~50號,8.71,住,,,10210,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920728,63.59,1,1,1,有,有,有,14000,220,,0.0,0
