鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
嘉義市,房地(土地+建物),嘉義市嘉義巿忠順一街1~50號,6.53,商,,,10211,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820317,34.57,1,1,1,有,有,有,6000,174,,0.0,0
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿林森東路701~750號,49.42,住,,,10211,土地1建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,200.18,4,2,2,有,有,無,9000,45,坡道平面,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿保建街51~100號,103.0,住,,,10211,土地1建物1車位0,一層,4,店面(店鋪),住商用,見其他登記事項,0991109,262.5,0,0,0,無,無,無,10000,38,,0.0,0
嘉義市,房地(土地+建物),嘉義市嘉義巿新榮路201~250號,78.0,商,,,10212,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0781205,321.51,8,2,7,有,無,無,40000,124,,0.0,0
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿林森東路701~750號,43.56,住,,,10212,土地1建物1車位1,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920317,176.1,3,2,2,有,有,有,7500,43,坡道平面,0.0,0
嘉義市,房地(土地+建物)+車位,嘉義市嘉義巿興業西路1~50號,33.51,住,,,10212,土地2建物1車位1,一層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0931103,95.03,0,0,0,無,有,無,38800,408,坡道平面,0.0,0
