鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
東區,房地(土地+建物),臺南市東區東榮街1~50號,6.01,住,,,10211,土地1建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0830901,24.04,1,1,1,有,無,無,6000,250,,0.0,0
東區,建物,臺南市東區崇學路1~50號,0.0,住,,,10211,土地0建物1車位0,一層,20,店面(店鋪),住商用,鋼筋混凝土構造,0800620,451.64,0,0,0,無,有,無,140000,310,,0.0,0
東區,房地(土地+建物),臺南市東區林森路一段101~150號,2.33,住,,,10211,土地2建物1車位0,十六層,22,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0800111,29.93,1,0,1,有,無,有,9000,301,,0.0,0
安南區,房地(土地+建物),臺南市安南區北安路三段101~150號,79.94,住,,,10212,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0840816,219.92,6,1,4,有,無,有,19000,86,,0.0,0
學甲區,房地(土地+建物),臺南市學甲區大灣151~200號,53.0,,鄉村區,乙種建築用地,10212,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840501,117.87,6,2,3,有,無,無,7500,64,,0.0,0
安平區,房地(土地+建物),臺南市安平區國平路351~400號,34.64,住,,,10212,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土構造,0840401,159.46,3,2,3,有,無,無,11078,69,,0.0,0
北區,建物,臺南市北區公園路321巷1~50號,0.0,住,,,10211,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0810819,149.62,4,2,2,有,有,有,13500,90,,0.0,0
東區,建物,臺南市東區光明街102巷1~50號,0.0,住,,,10211,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土構造,0881116,138.97,3,3,2,有,有,有,14000,101,,0.0,0
東區,建物,臺南市東區崇德十五街51~100號,0.0,住,,,10211,土地0建物1車位0,一層,7,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0820107,150.05,3,2,3,有,有,有,13500,90,,0.0,0
南區,建物,臺南市南區中華南路一段175巷25弄1~50號,0.0,住,,,10211,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0721217,122.51,4,1,2,有,無,有,8000,65,,0.0,0
永康區,建物,臺南市永康區大橋一街201~250號,0.0,住,,,10211,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0901212,211.0,4,3,4,有,無,有,20000,95,,0.0,0
善化區,房地(土地+建物),臺南市善化區北子店124巷1~50號,94.99,,特定農業區,甲種建築用地,10212,土地5建物1車位0,全,2,透天厝,住家用,加強磚造,0650514,96.71,2,2,2,有,無,無,8000,83,,0.0,0
新市區,房地(土地+建物),臺南市新巿區大營里101~150號,83.0,,特定農業區,甲種建築用地,10212,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870812,198.27,5,1,3,有,無,無,17000,86,,0.0,0
善化區,房地(土地+建物),臺南市善化區忠孝路1~50號,108.24,其他,,,10212,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,1010817,61.78,1,0,1,有,無,有,7000,113,,0.0,0
新市區,房地(土地+建物),臺南市新巿區復興路62巷1~50號,14.75,其他,,,10212,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840531,44.04,2,1,1,有,無,有,8000,182,,0.0,0
北區,房地(土地+建物),臺南市北區大興街551~600號,99.83,住,,,10212,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土構造,0830503,199.24,6,2,3,有,無,無,20000,100,,0.0,0
北區,建物,臺南市北區和緯路五段51~100號,82.65,住,,,10209,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土構造,0840722,209.56,6,3,7,有,無,無,23000,110,,0.0,0
中西區,建物,臺南市中西區金華路三段251~300號,1554.0,住,,,10210,土地0建物1車位0,二十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0870219,42.18,1,1,1,有,有,有,8000,190,,0.0,0
安平區,土地,石門段501~550地號,88.32,住,,,10210,土地1建物0車位0,,,其他,,,,0.0,2,0,0,有,無,無,12000,136,,0.0,0
