鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
豐原區,房地(土地+建物),臺中市豐原區南陽路301~350號,132.78,住,,,10212,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0810406,94.48,1,1,1,有,無,無,16000,169,,0.0,0
烏日區,房地(土地+建物),臺中市烏日區榮和路201~250號,118.5,住,,,10211,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0960518,285.57,0,0,0,無,無,有,32000,112,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路51~100號,13.01,住,,,10211,土地1建物1車位1,十三層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850903,110.93,0,0,0,無,有,無,24000,216,坡道平面,0.0,0
南屯區,房地(土地+建物),臺中市南屯區大墩十四街151~200號,10.77,住,,,10212,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821231,62.81,2,2,1,有,有,有,10000,159,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區福安五街1~50號,116.0,其他,,,10211,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0860114,85.44,5,2,4,有,無,無,39500,462,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區河南路二段151~200號,209.0,其他,,,10111,土地3建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,1000905,79.95,0,0,0,無,無,無,58000,725,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段1251~1300號,8.35,其他,,,10211,土地1建物1車位0,十五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990112,106.06,2,2,2,有,有,有,21000,198,,0.0,0
北屯區,建物,臺中市北屯區同榮路201~250號,0.0,住,,,10212,土地0建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,108.55,3,2,2,有,有,無,12000,111,坡道平面,0.0,0
西區,房地(土地+建物)+車位,臺中市西區精誠路304巷1~50號,19.02,住,,,10212,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800114,119.82,3,2,2,有,有,有,16000,134,升降機械,0.0,0
西區,房地(土地+建物),臺中市西區忠誠街51~100號,93.0,住,,,10212,土地1建物1車位0,全,2,透天厝,住家用,見其他登記事項,,118.08,6,2,2,有,無,無,25000,212,,0.0,0
神岡區,房地(土地+建物),臺中市神岡區中山路1001~1050號,119.0,住,,,10212,土地1建物1車位0,一層,3,廠辦,見使用執照,鋼筋混凝土造,0820621,63.7,0,0,0,無,無,無,7000,110,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.72,商,,,10211,土地1建物1車位0,九層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.490000000000002,1,0,1,有,有,有,5500,193,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.83,商,,,10211,土地1建物1車位0,七層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.21,1,0,1,有,有,有,5000,166,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.72,商,,,10211,土地1建物1車位0,九層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.490000000000002,1,0,1,有,有,有,5000,176,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區崇德十路一段501~550號,164.68,住,,,10212,土地3建物2車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0920919,467.19,5,4,7,有,有,無,66000,141,,0.0,0
西區,房地(土地+建物),臺中市西區美村路一段51~100號,89.0,住,,,10212,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0640802,119.7,0,0,0,無,無,無,15000,125,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,5.11,商,,,10211,土地1建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850506,87.08,2,1,1,有,有,有,7500,86,,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區大通街51~100號,112.8,住,,,10212,土地2建物1車位2,全,4,透天厝,住家用,鋼筋混凝土造,0870803,268.15,4,3,4,有,有,無,42800,160,坡道平面,30.0,0
西屯區,房地(土地+建物),臺中市西屯區工業區四十一路1~50號,637.15,工,,,10211,土地1建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,0811022,388.3,0,0,0,無,無,無,88000,,,0.0,0
西區,房地(土地+建物),臺中市西區華美西街一段1~50號,10.65,住,,,10211,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850610,162.08,2,2,1,有,有,有,22727,140,,0.0,0
北屯區,建物,臺中市北屯區興安路二段1~50號,0.0,住,,,10212,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870413,72.44,3,2,2,有,無,有,15000,207,,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段951~1000號,25.48,住,,,10211,土地1建物1車位1,十六層,25,辦公商業大樓,商業用,鋼骨混凝土造,0820112,315.87,0,0,0,無,有,無,28000,89,坡道機械,0.0,0
北屯區,建物,臺中市北屯區東山路一段133巷1~50號,0.0,住,,,10212,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680926,48.18,2,1,1,有,無,有,6500,135,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區北屯路527巷1~50號,66.28,住,,,10212,土地2建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960730,200.45,3,2,3,有,有,有,20000,100,,0.0,0
西區,房地(土地+建物)+車位,臺中市西區忠明南路101~150號,13.59,住,,,10212,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,121.94,2,2,2,有,有,有,32000,262,坡道平面,25.27,0
西區,房地(土地+建物),臺中市西區忠明南路101~150號,8.23,住,,,10212,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,120.14000000000001,2,1,1,有,有,有,30000,250,,0.0,0
西屯區,房地(土地+建物),臺中市西屯區臺灣大道二段901~950號,52.2,住,,,10211,土地1建物1車位0,一層,7,辦公商業大樓,商業用,鋼筋混凝土造,0790220,254.94,0,0,0,無,無,無,32000,126,,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區寶山五街101~150號,22.69,住,,,10212,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820924,129.39,3,2,2,有,無,有,13000,100,坡道機械,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~50號,9.49,商,,,10211,土地1建物1車位1,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,130.55,2,1,2,有,有,有,25000,191,坡道平面,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區臺中市西屯區福林路351~400號,33.42,住,,,10211,土地1建物1車位2,二十層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980324,337.05,3,2,3,有,有,有,40000,119,坡道平面,43.42,0
西屯區,房地(土地+建物)+車位,臺中市西屯區文心路三段1~50號,10.54,商,,,10211,土地1建物1車位1,十七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,132.78,2,1,1,有,有,有,23000,173,坡道平面,0.0,0
西屯區,車位,臺中市西屯區文心路三段1~50號,68.22,商,,,10212,土地0建物0車位1,,18,其他,住家用,鋼筋混凝土造,0980813,135.32,0,0,0,有,有,有,3300,,坡道平面,37.8,3300
西屯區,建物,臺中市西屯區市政北五路251~300號,0.0,其他,,,10211,土地0建物1車位0,八層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891117,272.94,4,2,3,有,有,無,56000,205,,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩路201~250號,7.94,住,,,10211,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840728,90.13,2,2,2,有,有,有,16000,178,坡道機械,0.0,0
西屯區,房地(土地+建物),臺中市西屯區天水西三街1~50號,19.53,住,,,10212,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771128,95.32,3,2,2,有,無,有,10000,105,,0.0,0
北區,房地(土地+建物),臺中市北區太原一街1~50號,39.5,住,,,10211,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0781220,32.1,1,0,1,有,無,無,9500,296,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段751~800號,14.24,住,,,10211,土地1建物1車位1,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0810331,140.88,0,0,0,無,有,無,22000,156,坡道機械,0.0,0
南屯區,房地(土地+建物),臺中市南屯區文心路一段501~550號,97.0,住,,,10211,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0800208,288.29,0,0,0,無,無,無,48000,166,,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區文心路一段201~250號,46.11,住,,,10211,土地1建物1車位3,二十三層,25,辦公商業大樓,商業用,鋼筋混凝土造,0841024,642.61,0,0,0,無,有,無,82500,128,坡道平面,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區文心路一段201~250號,23.76,住,,,10211,土地1建物1車位2,二十三層,25,辦公商業大樓,商業用,鋼筋混凝土造,0841024,331.12,0,0,0,無,有,無,42500,128,坡道平面,0.0,0
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩14街151~200號,28.22,住,,,10211,土地1建物1車位1,四層,8,辦公商業大樓,住家用,鋼筋混凝土造,0840821,99.56,0,0,0,無,有,無,13000,131,坡道機械,0.0,0
南屯區,房地(土地+建物),臺中市南屯區向上路三段1~50號,22.14,住,,,10211,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821202,188.43,5,2,2,有,有,無,17500,93,,0.0,0
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道四段901~950號,23.41,住,,,10211,土地1建物1車位1,九層,11,辦公商業大樓,商業用,鋼筋混凝土造,0830121,206.53,4,0,0,有,有,無,25500,123,坡道平面,0.0,0
南屯區,房地(土地+建物),臺中市南屯區臺中市南屯區大進西街1~50號,34.85,其他,,,10212,土地3建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0790504,167.67,0,0,0,無,無,無,30000,179,,0.0,0
西區,建物,臺中市西區臺灣大道二段251~300號,12.25,住,,,10211,土地0建物0車位0,十七層,32,辦公商業大樓,商業用,見其他登記事項,,165.52,0,0,0,無,有,無,27500,166,,0.0,0
西區,建物,臺中市西區臺灣大道二段251~300號,10.64,,,,10211,土地0建物0車位0,十七層,32,辦公商業大樓,商業用,見其他登記事項,,143.8,0,0,0,無,有,無,25000,174,,0.0,0
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段301~350號,8.11,住,,,10211,土地1建物1車位1,十三層,28,辦公商業大樓,商業用,鋼骨混凝土造,0800628,401.71,0,0,0,無,有,無,60000,149,坡道機械,41.92,0
西區,房地(土地+建物)+車位,臺中市西區公益路351~400號,23.21,住,,,10211,土地1建物0車位1,四層,17,辦公商業大樓,商業用,鋼筋混凝土造,0800118,164.93,0,0,0,無,有,無,20000,121,坡道平面,0.0,0
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路三段401~450號,29.79,住,,,10211,土地1建物1車位1,二十三層,33,辦公商業大樓,見其他登記事項,鋼骨混凝土造,0800909,234.19,0,0,0,無,有,無,45000,192,坡道平面,0.0,0
北區,房地(土地+建物)+車位,臺中市北區民權路551~600號,27.85,住,,,10211,土地1建物1車位1,六層,13,辦公商業大樓,商業用,鋼筋混凝土造,0791218,235.72,0,0,0,無,有,無,30000,127,坡道機械,0.0,0
北區,房地(土地+建物)+車位,臺中市北區漢口路四段1~50號,63.7,住,,,10211,土地1建物1車位1,三層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0780830,279.54999999999995,0,0,0,無,無,無,28000,100,升降平面,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.76,商,,,10211,土地1建物1車位0,六層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,29.2,1,0,1,有,有,有,5000,171,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.76,商,,,10211,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,29.2,1,0,1,有,有,有,4500,154,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,3.42,商,,,10211,土地1建物1車位0,十四層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,56.870000000000005,1,1,1,有,有,有,7500,132,,0.0,0
南區,房地(土地+建物),臺中市南區工學北路51~100號,1.83,商,,,10211,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,30.81,1,0,1,有,有,有,4700,153,,0.0,0
豐原區,房地(土地+建物),臺中市豐原區水源路601~650號,9.18,住,,,10212,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701218,33.67,1,1,1,有,無,有,5000,149,,0.0,0
大里區,房地(土地+建物),臺中市大里區大明路501~550號,135.0,住,,,10212,土地1建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,0901227,53.21,1,1,1,有,無,無,32500,611,,0.0,0
大里區,房地(土地+建物),臺中市大里區大明路501~550號,134.96,住,,,10212,土地1建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,0900110,82.76,1,1,1,有,無,無,32500,393,,0.0,0
太平區,房地(土地+建物),臺中市太平區立功路101~150號,16.44,住,,,10212,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810526,128.32,3,2,2,有,有,無,10000,78,,0.0,0
北屯區,房地(土地+建物),臺中市北屯區瀋陽路二段151~200號,30.29,商,,,10212,土地2建物1車位0,七層,7,辦公商業大樓,住家用,鋼筋混凝土造,0790302,152.06,0,0,0,無,有,無,17000,112,,0.0,0
南屯區,房地(土地+建物),臺中市南屯區向上路三段51~100號,14.26,其他,,,10212,土地1建物1車位0,見其他登記事項,14,店面(店鋪),商業用,鋼筋混凝土造,0840112,171.79000000000002,1,2,2,有,有,無,20000,116,,0.0,0
西屯區,建物,臺中市西屯區文心路三段1~50號,6.23,商,,,10212,土地0建物1車位1,五層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,61.55,1,1,1,有,無,有,16500,268,坡道平面,37.8,0
